                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.45477,                0.38704,                 0.9227,                0.93418,                0.96486,                 0.9733,                0.83205,                 0.6114,                0.42793,                0.87682,               0.001294,               0.001294,               0.001294
                    115,                0.45951,                0.39479,                 0.9173,                0.96764,                0.94255,                0.96847,                0.83981,                 0.6065,                0.43071,                0.87657,              0.0012907,              0.0012907,              0.0012907
                    116,                0.43388,                0.37633,                0.90762,                0.92095,                 0.9277,                0.94973,                0.81608,                0.60282,                0.51513,                 0.8887,              0.0012874,              0.0012874,              0.0012874
                    117,                0.43814,                0.38357,                 0.9062,                 0.9498,                0.96156,                0.95924,                0.83227,                0.61018,                 0.4501,                0.89465,              0.0012841,              0.0012841,              0.0012841
                    118,                0.44529,                0.38582,                0.90052,                0.94927,                 0.9596,                0.96377,                 0.8198,                0.62832,                 0.4431,                0.89367,              0.0012808,              0.0012808,              0.0012808
                    119,                0.48336,                0.41778,                0.93296,                0.94563,                0.91558,                0.95867,                0.83021,                 0.6279,                0.44264,                0.88911,              0.0012775,              0.0012775,              0.0012775
                    120,                0.46694,                0.39217,                0.92107,                0.83309,                0.89493,                0.89006,                0.77102,                0.59271,                0.63312,                0.86481,              0.0012742,              0.0012742,              0.0012742
                    121,                0.43125,                0.40426,                0.91913,                0.84773,                0.89595,                0.88225,                0.74987,                0.59998,                0.70523,                 0.8731,              0.0012709,              0.0012709,              0.0012709
                    122,                0.43204,                0.38645,                0.90193,                0.89972,                0.91874,                 0.9572,                 0.8015,                0.63665,                0.55446,                0.90957,              0.0012676,              0.0012676,              0.0012676
                    123,                0.40096,                0.35647,                0.87975,                0.93668,                0.95523,                 0.9586,                0.79319,                0.65161,                0.48995,                0.93637,              0.0012643,              0.0012643,              0.0012643
                    124,                0.44538,                0.36428,                0.91598,                0.97347,                 0.9441,                0.97105,                0.81837,                0.62522,                0.47702,                0.87429,               0.001261,               0.001261,               0.001261
                    125,                0.42416,                0.36798,                 0.8985,                0.96705,                0.96636,                  0.976,                0.82433,                 0.5985,                0.42964,                0.86844,              0.0012577,              0.0012577,              0.0012577
                    126,                0.44692,                0.37684,                0.91964,                0.96157,                0.97432,                0.97605,                0.83584,                0.60125,                0.42589,                0.85786,              0.0012544,              0.0012544,              0.0012544
                    127,                0.46311,                0.38327,                0.92374,                0.96277,                0.96636,                0.97358,                0.82501,                0.61358,                 0.4498,                0.85767,              0.0012511,              0.0012511,              0.0012511
                    128,                0.43079,                0.35491,                0.89235,                0.97718,                0.96449,                0.97375,                0.84473,                0.60042,                0.43247,                0.85799,              0.0012478,              0.0012478,              0.0012478
                    129,                0.56614,                0.49084,                 1.0424,                0.95545,                0.94248,                0.97157,                0.83104,                0.60677,                0.41645,                0.85844,              0.0012445,              0.0012445,              0.0012445
                    130,                0.43507,                0.38276,                0.88734,                0.94911,                0.96597,                0.97124,                0.80766,                0.61966,                0.41177,                0.87157,              0.0012412,              0.0012412,              0.0012412
                    131,                0.45207,                0.38847,                0.91603,                0.94955,                0.94255,                 0.9705,                0.81205,                0.61975,                 0.4188,                0.87637,              0.0012379,              0.0012379,              0.0012379
                    132,                0.41236,                0.36034,                0.89342,                  0.909,                0.95375,                0.96237,                0.80819,                0.65103,                0.46682,                0.91469,              0.0012346,              0.0012346,              0.0012346
                    133,                0.48678,                0.43797,                 0.9277,                0.91409,                 0.9089,                0.94161,                0.79807,                0.65558,                0.49471,                0.91224,              0.0012313,              0.0012313,              0.0012313
                    134,                0.46436,                0.37218,                0.93316,                 0.9338,                0.92081,                0.93731,                0.79249,                0.65102,                0.47015,                0.92358,               0.001228,               0.001228,               0.001228
                    135,                0.42488,                0.36171,                0.89361,                0.92638,                0.93271,                0.93832,                0.80466,                0.63703,                0.44326,                0.92633,              0.0012247,              0.0012247,              0.0012247
                    136,                0.43081,                0.36885,                0.90159,                0.94913,                0.92017,                0.92757,                 0.7998,                0.63063,                0.45865,                0.93089,              0.0012214,              0.0012214,              0.0012214
